"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","YIBSZFI","YIBSZFI_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS Code","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Years in business code","Meaning of Years in business code","Year","Number of employer firms","Sales, value of shipments, or revenue of employer firms ($1,000)","Number of employees","Annual payroll ($1,000)","Relative standard error of employer firms (%)","Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Relative standard error of number of employees (%)","Relative standard error of annual payroll (%)",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2018","826575","680812490","3554392","142887616","0.7","2.1","2.4","1.9",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","718376","769496008","5116799","173356299","1.0","4.0","3.6","2.4",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","542963","724662955","4602804","176253624","0.8","5.4","4.3","5.8",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","948138","1735022260","9572368","416994321","0.6","5.5","0.9","5.2",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","812155","1968981291","9098324","445296811","0.8","6.1","2.1","4.2",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2018","1873936","32526564365","96251718","5582451636","0.4","1.4","0.5","0.4",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2018","186472","107381733","742429","26851674","1.1","3.7","3.6","4.5",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","168710","112289913","949728","29132345","2.4","7.3","6.8","8.9",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","123845","91756801","801222","24501713","1.8","4.8","5.2","5.2",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","207640","214134850","1672672","56415688","1.1","5.7","4.0","5.0",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","163247","196263877","1452127","54578468","2.5","8.4","7.0","10.4",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2018","291497","1055008177","4531079","196605334","1.6","6.6","2.6","2.5",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2018","502234","412097438","2128453","89129480","1.0","2.6","4.0","3.1",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","430416","504224238","3168534","108016662","1.2","6.4","5.0","1.7",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","328659","486503584","2896732","116468996","1.3","7.2","6.8","7.6",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","572254","1096023040","5722196","255607280","1.2","9.1","1.2","8.6",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","491051","1115084188","5193500","259229863","1.2","6.3","3.1","5.4",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2018","1172345","7626102996","26236990","1312049412","0.8","4.1","1.4","1.2",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2018","131563","92484984","559283","19872789","1.7","5.5","8.1","8.0",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","104122","87849198","703744","19528553","2.7","10.8","5.9","8.8",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","78175","80100798","584628","17159227","2.1","14.7","7.5","9.7",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","142012","149215524","1163398","35332887","3.2","5.2","3.8","4.0",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","133685","185975247","1141278","41118086","2.8","8.3","4.8","6.2",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2018","271200","744982728","3817791","146841467","1.8","8.4","4.4","5.3",
"0100000US","United States","00","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","311","Firms with less than 2 years in business","2018","56018","29308652","214568","6697203","2.1","5.6","7.7","9.3",
"0100000US","United States","00","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","55762","52175181","353165","10071471","4.1","16.6","8.4","7.7",
"0100000US","United States","00","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","40795","44531184","343745","10021222","3.8","17.3","21.1","19.8",
"0100000US","United States","00","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","68425","84449823","593974","19368630","2.5","11.2","5.5","7.4",
"0100000US","United States","00","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","47059","61753052","428072","14825988","3.6","9.9","6.6","8.8",
"0100000US","United States","00","Total for all sectors","001","Total","020","Hispanic","00","Total","001","Total","323","Firms with 16 or more years in business","2018","63563","183426790","1038616","40118784","1.9","5.1","9.1","5.8",
"0100000US","United States","00","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","311","Firms with less than 2 years in business","2018","14595","6296075","56992","1704140","6.0","8.9","12.9","17.6",
"0100000US","United States","00","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","15198","11180830","91834","2611638","6.0","21.0","15.3","16.4",
"0100000US","United States","00","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","10704","10851076","79567","2145086","6.5","30.0","15.2","14.3",
"0100000US","United States","00","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","17776","15857178","144358","3801703","7.9","23.4","13.7","13.2",
"0100000US","United States","00","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","11677","13864085","101400","3333380","6.2","9.6","13.5","11.3",
"0100000US","United States","00","Total for all sectors","002","Female","020","Hispanic","00","Total","001","Total","323","Firms with 16 or more years in business","2018","14551","33054481","248504","8379729","6.8","15.4","19.6","16.5",
"0100000US","United States","00","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","311","Firms with less than 2 years in business","2018","34804","19353902","131871","4209884","2.9","7.8","11.6","10.1",
"0100000US","United States","00","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","34692","36557413","230395","6659475","4.6","26.4","12.3","11.5",
"0100000US","United States","00","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","25272","28797821","226292","6811718","5.1","16.8","29.7","24.2",
"0100000US","United States","00","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","43233","61579875","389145","13756905","3.3","17.1","8.9","11.5",
"0100000US","United States","00","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","29104","40714297","278944","10088220","5.4","10.6","8.6","11.5",
"0100000US","United States","00","Total for all sectors","003","Male","020","Hispanic","00","Total","001","Total","323","Firms with 16 or more years in business","2018","42320","138769756","701142","29017232","2.9","7.5","7.9","6.5",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","311","Firms with less than 2 years in business","2018","6618","3658675","25706","783179","8.7","12.9","18.7","18.8",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","318","Firms with 2 to 3 years in business","2018","5871","4436938","30936","800359","5.6","20.7","20.1","19.6",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","319","Firms with 4 to 5 years in business","2018","4821","4882287","37886","1064418","12.8","21.3","26.4","24.8",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","321","Firms with 6 to 10 years in business","2018","7416","7012771","60471","1810022","15.0","15.8","15.5","15.7",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","322","Firms with 11 to 15 years in business","2018","6278","7174669","47729","1404388","6.3","24.7","15.0","17.7",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","020","Hispanic","00","Total","001","Total","323","Firms with 16 or more years in business","2018","6695","11602554","88969","2721822","10.6","12.9","15.6","16.2",
